symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
600519,贵州茅台,1998,628184433.19,146891419.61,,29350910.0,316665851.53,741848981.55,507757453.57,551459063.21,147000000.0,76725369.98
600519,贵州茅台,1999,890858185.64,215690128.65,,58760152.62,423401102.17,915056957.32,629695102.09,761724949.37,117100000.0,129133236.27
600519,贵州茅台,2000,1114000813.26,249558877.77,443124645.68,50406779.45,512332818.61,1268856244.9,823531919.0,917137369.27,129000000.0,196863443.99
600519,贵州茅台,2001,1618046660.31,328290723.14,42283037.35,46700450.37,786368826.81,3463388734.98,925757031.17,1330508192.1999998,,287538468.11
600519,贵州茅台,2002,1834898294.9,376183499.47,434582378.66,42735776.91,1076612588.52,3930905066.72,1056171094.03,1494341850.11,,340556444.79
600519,贵州茅台,2003,2401017934.93,586747838.27,941706242.08,27486075.27,1215006621.05,4956365810.85,1485841719.92,1923629805.07,,477388129.86
600519,贵州茅台,2004,3009793519.92,820553997.19,975784480.2,31277360.66,1693741195.11,6373652983.57,2156945236.84,2474737270.9700003,,535056248.95
600519,贵州茅台,2005,3930515237.61,1118541629.37,1693707488.32,43685990.33,1860549625.24,8057596464.59,2895201383.07,3243408420.9300003,,687106816.68
600519,贵州茅台,2006,4903375765.41,1544812417.93,2112936898.43,68347002.7,1980903106.21,9570793579.42,3402941549.05,4116835592.49,,786540172.92
600519,贵州茅台,2007,7237430747.12,2830831594.36,1743303211.38,46407153.34,2304818947.92,10481471840.45,2112616070.01,6365787178.79,,871643568.33
600519,贵州茅台,2008,8241685564.11,3799480558.51,5247488535.74,34825094.84,3114567813.33,15754187836.35,4250769540.4,7441972244.87,,799713319.24
600519,贵州茅台,2009,9669999065.39,4312446124.73,4223937144.19,21386314.28,4192246440.36,19769623147.72,5118057753.51,8719326210.119999,,950672855.27
600519,贵州茅台,2010,11633283740.18,5051194218.26,6201476519.57,1254599.91,5574126083.42,25587579940.69,7038190246.07,10580352148.57,,1052931591.61
600519,贵州茅台,2011,18402355207.3,8763145910.23,10148564689.53,2225396.48,7187117552.86,34900868975.41,9497489364.12,16851121231.24,,1551233976.06
600519,贵州茅台,2012,26455335152.99,13308079612.88,11921310609.25,17818147.27,9665727593.42,44998208953.46,9544172556.21,24411028684.230003,,2044306468.76
600519,贵州茅台,2013,30921801316.6,15136639784.35,12655024861.92,927222.79,11836810239.03,55454150677.05,11325058403.79,28727881008.61,,2193920307.99
600519,贵州茅台,2014,31573928530.94,15349804322.27,12632522436.6,4306161.24,14982364367.85,65873165224.63,10561614383.51,29235377998.61,62552484.0,2338550532.33
600519,贵州茅台,2015,32659583725.28,15503090276.38,17436340141.72,230768.89,18013297022.7,86301463422.77,20067293001.48,30121246276.22,,2538337449.06
600519,贵州茅台,2016,38862189993.84,16718362734.16,37451249647.05,,20622251825.55,112934538280.41,37035995425.69,35452085907.869995,,3410104085.97
600519,贵州茅台,2017,58217861314.17,27079360255.74,22153036084.13,,22057481376.46,134610116875.08,38590489400.0,52277424942.2,,5940436371.97
600519,贵州茅台,2018,73638872388.03,35203625263.22,41385234406.72,,23506950842.22,159846674736.00998,42438186813.48,67115950554.26,,6522921833.77
600519,贵州茅台,2019,85429573467.25,41206471014.43,45210612632.56,,25284920806.33,183042372042.5,41165991813.85,77999559522.13,,7430013945.12
600519,贵州茅台,2020,94915380916.72,46697285429.81,51669068693.03,,28869087678.06,213395810527.46,45675127426.18,86761379440.44,,8154001476.28
600519,贵州茅台,2021,106190154843.76,52460144378.16,64028676147.37,,33394365084.83,255168195159.9,58210688454.56,97206777033.8,,8983377809.96
600519,贵州茅台,2022,124099843771.99,62717467870.12,36698595830.03,20937144.0,38824374236.24,254500826096.02,49562744832.16,114006375155.36,,10093468616.63
600519,贵州茅台,2023,147693604994.14,74734071550.75,66593247721.09,60373410.41,46435185061.53,272699660092.25,49043190797.43,135826331142.36002,,11867273851.78
600519,贵州茅台,2024,170899152276.34,86228146421.62,92463692168.43,18974192.75,54343285157.47,298944579918.7,56933264798.1,157109669908.36,,13789482367.98
600519,贵州茅台,2025,168838102514.79,82320067101.68,61522204989.35,2609048.49,61427421796.18,303834844021.44,49875590112.37,153945824943.88,,14892277570.91
