symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
300750,宁德时代,2014,866786361.55,54425751.28,-138904402.07,371591280.04,312078268.93,2875108627.98,2539700816.95,223056554.07999992,197129703.88,643729807.47
300750,宁德时代,2015,5702884874.34,930646375.1,664533984.01,2393930005.73,1041611188.85,8672957501.46,7174629112.81,2203682860.61,576558942.87,3499202013.73
300750,宁德时代,2016,14878985098.12,2851821419.26,2109126726.79,7315840024.05,1359772316.12,28588314344.08,12797195300.25,6502183205.720001,1226587998.8,8376801892.4
300750,宁德时代,2017,19996860806.33,3877954869.7,2449210410.25,6918521550.9,3417757092.32,49662885758.45,23191646660.83,7256673657.630001,2245096000.7,12740187148.7
300750,宁德时代,2018,29611265434.22,3387035207.64,11316265700.53,6224857396.53,7076101849.47,73883704016.51,38683533425.89,9708981281.07,1180092100.11,19902284153.15
300750,宁德时代,2019,45788020642.41,4560307432.71,13471954556.8,8338535645.35,11480549879.88,101351976711.32,59164101553.6,13305260129.790005,2125646681.77,32482760512.62
300750,宁德时代,2020,50319487700.0,5583338700.0,18429902600.0,11293523700.0,13224641000.0,156618426900.0,87423710500.0,13970334100.0,6335080200.0,36349153600.0
300750,宁德时代,2021,130355796400.0,15931317900.0,42908008700.0,23753548200.0,40199691900.0,307666860900.0,215044686400.0,34262074100.0,12123056900.0,96093722300.0
300750,宁德时代,2022,328593987500.0,30729163500.0,61208843300.0,57966516900.0,76668898800.0,600952351900.0,424043189900.0,66544378300.0,14415402500.0,262049609200.0
300750,宁德时代,2023,400917045000.0,44121248000.0,92826124000.0,64020533000.0,45433890000.0,717168041000.0,497284890000.0,76934915000.0,15181012000.0,323982130000.0
300750,宁德时代,2024,362012554000.0,50744682000.0,96990345000.0,64135510000.0,59835533000.0,786658123000.0,513201949000.0,88493595000.0,19696282000.0,273518959000.0
300750,宁德时代,2025,423701834000.0,72201282000.0,133219982000.0,76403264000.0,94526239000.0,974827544000.0,603801220000.0,111318537000.0,12935498000.0,312383297000.0
