symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
000858,五粮液,1995,914703675.36,216927477.38,,2788901.88,467186347.06,758250422.43,532282942.48,523069129.1,177400000.0,391634546.26
000858,五粮液,1996,1309696890.55,259939328.41,,2927659.32,536879605.18,875504919.83,610546540.62,744806770.39,107500000.0,564890120.16
000858,五粮液,1997,2204454415.56,341298375.86,,1781269.24,609545054.58,1155167331.93,762782553.5,1062105392.34,40000000.0,1142349023.22
000858,五粮液,1998,2814346533.12,559778280.97,359005459.04,13522153.39,552805762.85,2744404636.01,972927232.46,1334854667.9099998,,1479491865.21
000858,五粮液,1999,3308791041.8,649021962.9,898446895.69,,630729514.1,3918898762.95,1498399396.5,1732178240.8400002,,1576612800.96
000858,五粮液,2000,3953640138.96,768112120.07,1294995783.27,,972147455.65,4600917198.25,1409700999.3,2022850721.13,,1930789417.83
000858,五粮液,2001,4742095340.65,811407817.88,1073187941.83,7910472.45,1308727394.73,6687868171.49,1985625038.69,2098167479.16,,2643927861.49
000858,五粮液,2002,5706517438.45,613234637.84,1053290717.92,2926977.69,958709328.83,7261734980.75,1939635025.04,2505973331.11,,3200544107.34
000858,五粮液,2003,6333090598.79,702974477.92,1044659243.4,2709674.42,1092522751.32,8262779664.53,2236886977.87,2847577667.94,,3485512930.85
000858,五粮液,2004,6297583438.98,827997151.42,821693394.3,2151313.52,1375514738.79,8810533628.0,2223571726.23,3078274623.24,,3219308815.74
000858,五粮液,2005,6418751478.32,791348797.04,1252717668.09,3485923.59,1449461394.57,9614093108.86,2228124130.32,3209203755.9799995,,3209547722.34
000858,五粮液,2006,7397006488.91,1167350516.9,1336270367.45,6260195.02,1508022529.59,10340154321.48,2039017147.73,3903009958.43,,3493996530.48
000858,五粮液,2007,7328555841.62,1468920725.13,1665545943.71,6792521.38,1805867257.73,11571651127.1,1945414142.93,3950576268.62,,3377979573.0
000858,五粮液,2008,7933068723.21,1810687550.16,1972636550.81,5170935.73,2076930883.61,13496420728.24,2040483851.52,4314995851.96,,3618072871.25
000858,五粮液,2009,11129220549.61,3244803973.03,6054009663.0,102759224.96,3476844741.04,20849090535.73,6268628391.14,7268560567.290001,,3860659982.32
000858,五粮液,2010,15541300510.85,4395355533.17,7703120285.26,89308643.66,4514778551.63,28673500525.16,10307398983.69,10678110900.02,,4863189610.83
000858,五粮液,2011,20350594468.71,6157465187.41,9533022924.41,75620180.15,5536502482.54,36905840779.24,13459152038.79,13455183179.579998,,6895411289.13
000858,五粮液,2012,27201045951.34,9934872820.43,8749667084.48,80997122.24,6680023737.32,45247636141.84,13726565588.54,19185321510.49,,8015724440.85
000858,五粮液,2013,24718588617.99,7972814983.24,1458910756.88,75473277.19,6885585995.39,44129502138.3,7110217586.21,18108177765.75,,6610410852.24
000858,五粮液,2014,21011491536.14,5834915278.94,794565645.34,122947745.88,8091488733.56,46408870652.85,6075790206.77,15239462132.11,,5772029404.03
000858,五粮液,2015,21659287359.66,6176119256.18,6691068449.78,106953033.25,8700851179.53,52546634940.51,8201473977.96,14987324089.99,,6671963269.67
000858,五粮液,2016,24543792660.59,6784533260.36,11696760569.21,107702772.21,9257369374.48,62174406583.2,13968547373.5,17229540208.21,,7314252452.38
000858,五粮液,2017,30186780409.14,9673721498.15,9766175822.66,109569527.26,10557801464.12,70922626679.43,16248301030.25,21736693137.78,,8450087271.36
000858,五粮液,2018,40030189599.87,13384246683.6,12317359034.9,127331336.97,11795461088.43,86094265733.09,20974826391.98,29543406665.6,,10486782934.27
000858,五粮液,2019,50118105877.14,17402164190.16,23112072040.66,134449693.03,13679619615.41,106396972333.66,30300924676.5,37315845929.8,,12802259947.34
000858,五粮液,2020,57321059453.15,19954809594.52,14698327593.21,41496170.35,13228273631.45,113893139013.72,26134892369.01,42509097974.5,,14811961478.65
000858,五粮液,2021,66209053612.11,23377074353.4,26774941873.05,64193116.22,14015067118.25,135620812221.13,34228928576.26,49890275023.29,,16318778588.82
000858,五粮液,2022,73968640704.54,26689983647.2,24431136261.48,35686942.32,15980657013.57,152811927251.18,36124899211.08,55790215044.9,,18178425659.64
000858,五粮液,2023,83272067317.19,30210585269.3,41742479908.23,42647461.48,17387841712.87,165432981684.75,33083608497.58,63114923364.98,,20157143952.21
000858,五粮液,2024,89175178322.7,31853172533.98,33939755192.78,37346561.95,18233702166.62,188252218704.17,51857424971.48,68713755238.95999,,20461423083.74
000858,五粮液,2025,40528509770.23,8954257202.51,29706259919.13,37745419.51,20065336751.2,189984270815.47,67803587170.33,31426552816.640003,,9101956953.59
