symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
600019,宝钢股份,1997,25289080995.62,2251344987.14,,,,,,5160953840.279999,,20128127155.34
600019,宝钢股份,1998,27766411957.97,1237832928.89,,567156683.36,2559069826.62,37308781189.68,22363091201.85,4248345560.39,17086035423.9,23518066397.58
600019,宝钢股份,1999,28324650206.42,2274926309.41,,1098121743.52,2184557850.68,35900699408.15,21599414801.79,5955779217.6799965,8898103651.98,22368870988.74
600019,宝钢股份,2000,30940534474.4,2992103910.0,8995328806.01,671577584.82,2405968203.03,38966704071.31,13685166995.73,6900757463.940002,2395000000.0,24039777010.46
600019,宝钢股份,2001,29170795224.72,2561211724.76,9037940166.36,332696231.12,3292887770.34,58042061840.86,31752033427.31,6005540446.780003,670000000.0,23165254777.94
600019,宝钢股份,2002,33876605792.62,4271932430.25,10790011185.1,1303094311.74,3371656555.4,61489193013.36,30801729240.39,9421021327.349998,50000000.0,24455584465.27
600019,宝钢股份,2003,44460368905.54,6975724979.87,14630799102.61,1336612482.6,4642823052.21,60917575042.18,25227314069.71,13634943459.98,256440000.0,30825425445.56
600019,宝钢股份,2004,58638060296.58,9395231383.35,16798221429.58,2380085813.73,6540932094.46,64255424559.98,22241848835.27,17201623696.36,1185795000.0,41436436600.22
600019,宝钢股份,2005,126608361546.73,12665528991.45,22721856909.4,4770427543.74,25046290143.02,142024236265.8,63097319420.87,26626704698.98999,10777078405.58,99981656847.74
600019,宝钢股份,2006,162142168837.78,13077141563.52,25213174145.47,5549254983.12,31236424727.9,164846657403.93,78312756748.28,27544016017.429996,18945139541.24,134598152820.35
600019,宝钢股份,2007,191273493516.61,12718334521.04,18885634310.87,6311642149.53,39889674168.6,202008004824.89,95928880222.68,28347905470.51999,20481128544.17,162925588046.09
600019,宝钢股份,2008,200331773819.59003,6459207460.21,16243552045.84,5269190881.79,35644590875.74,200021136928.14,102183449550.12,24437946503.090027,24104126921.47,175893827316.5
600019,宝钢股份,2009,148326363909.94,5816227393.1,23993121981.11,5566287279.15,29462171383.42,201142782516.38,99923481740.22,13993905604.919998,24274429785.95,134332458305.02
600019,宝钢股份,2010,202149152364.77,12868848082.97,18855526363.85,6728952000.41,38027321873.88,216065103749.73,104742843499.89,26754744061.75,23611246423.82,175394408303.02
600019,宝钢股份,2011,222504684693.73,7361961636.41,12142229747.98,6983893119.47,37389713386.91,231099745829.88,117629749529.61,19463963808.94,38876457632.91,203040720884.79
600019,宝钢股份,2012,191135195744.15,10089628467.77,22185892055.95,8551131045.38,28872423689.21,220875843238.26,100916222843.67,14250044154.369995,31647325209.64,176885151589.78
600019,宝钢股份,2013,189688379683.22,5818471202.97,12090476634.05,11274903876.09,31086740188.46,226704338731.46,106746931567.28,17970179859.930023,34470625308.28,171718199823.28998
600019,宝钢股份,2014,187413640104.33,5792349060.9,28280465939.43,10049072037.1,26815100722.39,228652514012.36,104447687865.65,18482504602.880005,31480011723.61,168931135501.44998
600019,宝钢股份,2015,163789548495.24,944405134.07,21176796444.06,9158063277.11,23515760734.54,234123146953.29,111976722031.95,14531192246.25998,27111031934.7,149258356248.98
600019,宝钢股份,2016,246169451839.91,9075928087.45,22403256147.01,15471714554.88,49581451453.12,359067747173.88995,198815476289.68,27957251092.51001,52080729189.64,218212200747.4
600019,宝钢股份,2017,289092900259.28,19170337569.64,33077273594.37,12079375683.85,39488037616.6,350234632615.17,175762228075.96,40667797860.13004,60282446151.02,248425102399.15
600019,宝钢股份,2018,305081136570.18,21448768283.52,45567781775.86,12901428073.58,41568631679.7,335850059085.52,146273891507.44998,45658285773.72998,38454057065.49,259422850796.45
600019,宝钢股份,2019,291600366174.22003,12563018204.22,33073719220.85,10877760224.0,40299745478.15,345937715374.37,153895317526.62,31727006525.950043,13068010671.18,259873359648.27
600019,宝钢股份,2020,281519220481.5,12695354955.32,28152547458.02,9828318912.13,39506285448.23,357781357767.78,156943136106.00998,29530421989.410004,12450126298.72,251988798492.09
600019,宝钢股份,2021,364349298085.03,23631996672.59,59868871185.01,12246391864.76,49490104273.93,380397561387.78,169676987929.2,39872845937.25,10933476710.7,324476452147.78
600019,宝钢股份,2022,367778242419.77,12186850692.42,44718962772.18,15684335093.38,46010011667.02,398248855120.13,182372500741.3,21485478734.410034,4600479316.91,346292763685.36
600019,宝钢股份,2023,344500428314.62006,11944052177.22,25302147693.51,14197218606.67,44715749054.95,376051483588.01,155913671276.7,21373390104.10004,3657718543.53,323127038210.52
600019,宝钢股份,2024,322115845919.76,7361925588.6,27735926936.12,13849005184.3,38188154808.32,364873528314.28,144709686602.95,17569485346.72003,3394355022.42,304546360573.04
600019,宝钢股份,2025,317507793966.66,10345621735.27,33597182967.75,13804409438.56,37211846157.71,363020038344.87,137829752534.84,22985017880.02997,5251507266.14,294522776086.63
