symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
600309,万华化学,1997,140004535.76,13752984.77,,12678121.76,54198832.22,163825759.52,93817434.0,29238175.53999999,32000000.0,110766360.22
600309,万华化学,1998,180697101.69,20703040.58,,8254619.0,21916789.77,197335209.09,74938375.37,38341275.93000001,31730000.0,142355825.76
600309,万华化学,1999,210406102.94,26280076.58,54437569.76,9817181.33,29237014.61,258737758.28,130431204.05,50375899.22999999,41730000.0,160030203.71
600309,万华化学,2000,344853089.67,49803512.36,84086054.37,12031562.68,51274560.89,757607653.79,156537787.2,112967894.70000002,59100000.0,231885194.97
600309,万华化学,2001,571288456.37,100728393.18,84766521.49,22445517.02,44425718.57,726705994.51,72907734.74,208179967.83,,363108488.54
600309,万华化学,2002,881744022.69,154326437.19,123979697.9,14868936.05,89124838.51,928133136.03,119474315.53,305644101.57000005,12000000.0,576099921.12
600309,万华化学,2003,1343705425.49,232278153.27,374222722.25,21489816.41,134963979.7,1438870375.85,400971899.56,482248082.03,8501558.5,861457343.46
600309,万华化学,2004,2104228713.8,403504443.85,203227700.45,7251302.96,276734083.68,3112384035.31,1747614707.3,851409981.6599998,171382500.0,1252818732.14
600309,万华化学,2005,3309540687.97,617630223.96,827396286.11,58088774.26,474792028.52,4647694308.13,2792290855.41,1238301102.7799995,404160300.0,2071239585.19
600309,万华化学,2006,4946330682.38,863470167.31,932348065.54,293590233.38,463770420.9,5239644092.07,2338368087.18,1768621131.92,582233433.0,3177709550.46
600309,万华化学,2007,7803583625.51,1487836454.62,1282377054.47,335997130.75,650856646.65,7594369294.18,3114714162.94,3151879707.3200006,1108340190.0,4651703918.19
600309,万华化学,2008,7704393026.13,1548840769.44,2000204491.39,273026189.1,600437286.6,7862722671.77,2413308434.74,2410196250.7,839087110.0,5294196775.43
600309,万华化学,2009,6492919698.93,1066378578.77,1454378028.85,323316364.0,755633666.28,9661178604.14,3836060265.41,1886153825.5200005,2126837499.44,4606765873.41
600309,万华化学,2010,9429776859.95,1530208250.53,413358406.21,608208608.33,1168328974.64,12942922111.9,5787702826.88,2388266996.250001,2276570365.53,7041509863.7
600309,万华化学,2011,13662307339.38,1853900338.84,2012433377.9,610677247.51,1337878714.59,17418683319.14,9203059194.67,4173642518.14,3258713688.38,9488664821.24
600309,万华化学,2012,15942126516.79,2348879482.7,3806178738.53,948362671.84,1994863273.82,22541461325.06,12698651272.0,5560257023.190001,3764733587.16,10381869493.6
600309,万华化学,2013,20237973217.99,2891412294.74,3869262970.07,1062550311.78,2265001877.42,31540959305.02,19760003852.24,6655024038.120001,3752118153.63,13582949179.87
600309,万华化学,2014,22088368488.74,2419366386.55,4020514862.83,1341579522.35,3009992528.58,41592085628.73,28306409955.95,6818728752.850002,4496443321.52,15269639735.89
600309,万华化学,2015,19492382889.53,1609743609.59,4602393725.92,1213878016.12,4193853062.94,47804417081.92,32981182686.14,5872417462.929998,9637861380.59,13619965426.6
600309,万华化学,2016,30099861530.44,3679421831.9,7348843878.83,1714873634.39,4337350786.56,50765015455.16,32431078399.48,9355052280.37,8501465901.41,20744809250.07
600309,万华化学,2017,53123173258.81,11134790281.66,10707798595.4,2832792897.08,6999627326.74,65827732248.24,35073605689.87,21089919796.61,12714569960.22,32033253462.2
600309,万华化学,2018,72837108238.47,15566255853.88,22877296893.61,3853089723.63,8940329876.04,87063457480.75,47481133472.42,25869272500.620003,18868964070.75,46967835737.85
600309,万华化学,2019,68050668650.78,10129985097.55,25932941200.65,4433077609.63,8586883294.06,96865322655.29,52934063683.66,19053058148.93,20034036150.27,48997610501.85
600309,万华化学,2020,73432968475.63,10041428014.6,16849705990.71,6309034173.56,8703505331.99,133752669388.47,82101895631.51,17516566424.4,38244937889.93,55916402051.23
600309,万华化学,2021,145537817628.55002,24648748123.08,27922292184.74,8646177732.29,18282043845.12,190309582268.84,118613915236.74,38221308984.20001,53873031816.12,107316508644.35
600309,万华化学,2022,165565484373.68997,16233626024.32,36336824920.33,9060251936.64,18185319479.0,200843198875.15,119506211213.71,27433261744.08997,44019483776.9,138132222629.6
600309,万华化学,2023,175360935668.36,16815755534.31,26796752552.51,9144253100.42,20650136909.64,253040390845.31003,158586175111.51,29434576445.039974,43526402388.14,145926359223.32
600309,万华化学,2024,182069119160.94,13033066612.84,30053435178.33,12318995367.05,24107312714.47,293333349744.25,189833199877.59003,29426535517.04001,35557147552.13,152642583643.9
600309,万华化学,2025,203234573814.42,12527201094.15,33105189455.82,15872973091.27,26014205386.5,323009018441.98004,202880274334.07,27664988985.100006,27788702920.99,175569584829.32
