symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
600104,上汽集团,1994,855297445.75,238544443.44,,59257409.97,157582880.52,1419239520.83,863558575.24,415123989.16,192740000.0,440173456.59
600104,上汽集团,1995,1318171222.47,320625760.04,,77136490.33,190062769.91,1539043228.68,920100536.9,585464722.0500001,233950000.0,732706500.42
600104,上汽集团,1996,1571974974.54,429847877.93,,92141663.6,191002664.85,1711316505.07,1006282539.47,715487500.55,212650000.0,856487473.99
600104,上汽集团,1997,1774219842.57,472632573.74,,59980931.68,186563836.46,4056158102.29,742731216.28,777321073.7099999,41250000.0,996898768.86
600104,上汽集团,1998,1936552145.01,681091086.67,830657390.25,76666935.16,175601192.58,4834736367.52,815625585.78,873164341.5,16050000.0,1063387803.51
600104,上汽集团,1999,2434192696.91,714352883.75,938738409.23,142402020.26,241732998.4,6055843580.6,1975326330.37,1012522515.6799998,246550000.0,1421670181.23
600104,上汽集团,2000,2493430027.23,491603740.6,551649098.0,119518168.37,246060621.23,6807967212.4,1999951586.58,943209026.55,615000000.0,1550221000.68
600104,上汽集团,2001,3705234168.12,784188994.29,726936993.16,178899222.97,554816586.85,10054325600.56,1914891470.36,962489794.04,191500000.0,2742744374.08
600104,上汽集团,2002,4769239663.7,1070440385.82,777880675.38,268845366.29,703750602.68,10700458519.68,1508168095.15,1149473850.62,16500000.0,3619765813.08
600104,上汽集团,2003,6891518318.54,1516808257.39,391618269.38,374893068.71,1264119393.53,12092059919.39,2233189198.62,1649240007.0900002,159490000.0,5242278311.45
600104,上汽集团,2004,7490515393.02,1978089244.63,287134317.41,426457964.2,1632845279.33,13997797484.04,2531472702.91,1922878222.1200008,592734706.61,5567637170.9
600104,上汽集团,2005,6388689053.95,1104621764.73,648090634.03,888304601.24,1405834864.82,14594849571.15,2860686327.2,1178940849.0199995,781922320.0,5209748204.93
600104,上汽集团,2006,19523874580.35,1355846328.6,5858283255.29,2232698688.56,5650297711.86,83924142445.7,46222694755.0,2528081375.869999,1227170682.19,16995793204.48
600104,上汽集团,2007,104083576146.63,4634680471.87,-5263467353.57,4196560876.22,7851411260.52,101815487637.58,58809207689.95,14554577323.28,2292309510.11,89528998823.35
600104,上汽集团,2008,105405594018.36,656168040.68,11669840382.15,2859892213.33,7442145246.45,107856648640.37,69319906960.1,12170404653.520004,4326246516.04,93235189364.84
600104,上汽集团,2009,138875420771.41,6591932979.84,21572497127.15,4066816275.22,8314152646.67,138158357172.46,91394279575.66,17647846275.01001,1744977672.07,121227574496.4
600104,上汽集团,2010,364983328165.82,16389781473.15,29353498345.35,10610498057.68,23870135241.29,285044602668.98,171531873557.96,69772569976.28003,7750709507.53,295210758189.54
600104,上汽集团,2011,433095484273.94,20221866457.55,20209343887.11,11970414523.06,29256881018.66,318633180995.07,185516864154.33,81225184083.59998,5859252494.44,351870300190.34
600104,上汽集团,2012,478432576342.83,20751763307.97,19591127624.55,15427853242.07,24950803086.15,317202998968.11005,172196642417.52,77868979649.25,5798812190.73,400563596693.58
600104,上汽集团,2013,563345672365.7799,24803626272.23,20602511608.81,19244289149.61,30914532082.83,373640740801.94,211908649690.9,72357190289.7099,5251574760.18,490988482076.07
600104,上汽集团,2014,626712394486.86,27973441274.41,23283810974.3,20696097314.82,38765888491.75,414870673481.85,229871596466.94,77476368572.85999,5505253039.46,549236025914.0
600104,上汽集团,2015,661373929792.65,29793790723.65,25992574916.3,29332370952.75,37243441948.98,512955958115.78,302038672395.57,75541046576.39001,4908346545.97,585832883216.26
600104,上汽集团,2016,746234636304.31,32005700516.1,11360916342.78,30661741111.58,37039781805.92,590710298719.0599,355436856638.85,96019865862.80003,8728150584.1,650214770441.51
600104,上汽集团,2017,857977717906.64,34410339492.71,24301071935.41,34667807134.14,50041764931.61,723533131261.5901,451427314463.27,115595305618.83008,15717398963.92,742382412287.8099
600104,上汽集团,2018,887626207288.4099,36009210583.83,8975654791.66,40129806051.07,58942623891.76,782769849841.0099,498049624363.04,117640384788.74988,16726440287.46,769985822499.66
600104,上汽集团,2019,826530002967.8701,25603384202.16,46271852926.75,41340635443.91,54398633356.34,849333279599.1901,548493655257.48,100429789579.54016,25587986199.99,726100213388.33
600104,上汽集团,2020,723042589215.28,20431037479.76,37517935804.19,43602501087.14,69395466035.32,919414755796.94,609373443913.36,65277044582.98999,23628641424.02,657765544632.29
600104,上汽集团,2021,759914635560.08,24533097943.83,21615739153.91,47463533394.88,56635907090.04,916922695643.33,588151965088.23,73171843006.15991,27849482034.01,686742792553.92
600104,上汽集团,2022,720987528302.0299,16117549650.39,9504540284.51,62913102665.6,88535001044.3,990107381169.76,653807144225.0801,69286751148.96997,38337475598.51,651700777153.0599
600104,上汽集团,2023,726199110369.74,14106165142.98,42334422535.36,68019556853.36,98603705752.11,1006650278661.54,663743046200.51,68897937906.20996,44920602982.12,657301172463.53
600104,上汽集团,2024,614074061818.13,1666376761.07,69267789561.24,69667980882.72,77277245777.65,957143417731.69,610408436400.6599,57624025131.69006,53689722318.91,556450036686.44
600104,上汽集团,2025,646152101889.2999,10105800270.34,34306601905.98,82052819101.23,79639903735.31,960207461450.69,598901900294.88,65208118239.88989,40600406435.85,580943983649.41
