symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
002475,立讯精密,2007,351080838.82,32125058.55,-3159783.94,139204122.87,53814924.55,348410584.62,139614625.69,67342950.27999997,,283737888.54
002475,立讯精密,2008,630266471.27,58869170.06,34769946.77,157181808.45,54242240.38,400207450.09,143434586.61,119963598.95,20000000.0,510302872.32
002475,立讯精密,2009,584703104.63,74122785.95,59235104.49,239126292.86,57073315.1,542724815.55,161361854.96,126330005.48000002,,458373099.15
002475,立讯精密,2010,1010548735.47,115780802.85,73362471.84,458397180.65,71852124.0,2045640496.04,336594476.83,189654987.80000007,,820893747.67
002475,立讯精密,2011,2555567715.02,257181697.39,308745273.63,1016194063.7,247418474.06,3285118301.71,1085542185.08,564918663.3899999,394618973.73,1990649051.63
002475,立讯精密,2012,3147201586.78,263091913.13,418172366.2,1157121026.13,414258063.82,4062603536.15,1517124751.52,667197492.1300001,439080742.92,2480004094.65
002475,立讯精密,2013,4591656697.76,339775798.82,294293343.75,1705744951.98,678232629.91,6214789202.89,3077621802.24,944608444.5700002,1090736207.62,3647048253.19
002475,立讯精密,2014,7295948570.78,630046097.62,320904617.51,2240943340.04,1161092398.24,9691628858.36,4727372093.24,1699216624.7699995,2126152486.72,5596731946.01
002475,立讯精密,2015,10139492446.88,1078508532.08,487403773.18,2901097340.98,1508571909.72,11587051478.54,5708078385.35,2320128427.3599987,2664985668.76,7819364019.52
002475,立讯精密,2016,13762595894.39,1156533484.71,1309992558.56,4720842808.39,2121655995.31,20954806393.01,8824903214.18,2958552851.6099987,3052288857.05,10804043042.78
002475,立讯精密,2017,22826099790.37,1690568104.26,168837371.44,7080023665.19,3473754830.54,26885884292.23,12960986533.54,4565790040.52,4524228587.95,18260309749.85
002475,立讯精密,2018,35849964160.13,2722631125.23,3142307168.34,11131003920.48,4734775517.72,36441441236.44,19766604272.92,7545533271.6799965,5663895975.28,28304430888.45
002475,立讯精密,2019,62516314588.42,4713820644.9,7465988174.33,13243625572.22,7700857888.16,49377910671.23,27628207376.51,12448484634.46,4166302223.17,50067829953.96
002475,立讯精密,2020,92501259211.54,7225462752.58,6873211486.05,13839155340.47,13211009381.15,70012753551.75,39106153689.68,16731252161.959991,7577068798.49,75770007049.58
002475,立讯精密,2021,153946097790.4,7070520386.57,7284766917.0,31623185946.25,20900755733.15,120572098167.88,74789454618.31,18897761497.51999,11919635337.99,135048336292.88
002475,立讯精密,2022,214028394291.44,9163104849.54,12727610319.34,26043354859.19,37363329476.66,148384319074.71,89600449377.52,26099514006.06,14911899668.93,187928880285.38
002475,立讯精密,2023,231905459829.83,10952656702.16,27605060411.16,23504481889.07,29757930319.35,161992099595.65,91707234769.43,26864159371.23999,20514182240.47,205041300458.59
002475,立讯精密,2024,268794737612.58,13365651026.16,27116908208.53,32561098916.58,31702675549.03,223827584433.26,139140458018.25,27985319631.98999,35313128924.26,240809417980.59
002475,立讯精密,2025,332344443143.39,16599769785.64,17325329533.97,48438796114.12,42332782449.47,306537675786.42,202517443006.8,39588532166.67999,60137739468.49,292755910976.71
