symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
000895,双汇发展,1995,1537854438.51,38357641.33,,160646067.24,112383280.48,814000025.15,523493563.35,192111288.79,114828062.2,1345743149.72
000895,双汇发展,1996,2042969955.98,42182175.46,,225034398.46,161913265.37,1105913893.25,783215995.39,221670495.3900001,149779536.0,1821299460.59
000895,双汇发展,1997,2164011538.36,50288533.81,,245178357.53,237493782.03,1149561294.42,801727377.08,211496009.26000023,233694910.0,1952515529.1
000895,双汇发展,1998,2015620423.67,67137176.55,164067941.54,158289255.16,217865976.12,1177378133.13,397097723.85,214812667.78,,1800807755.89
000895,双汇发展,1999,2400830372.72,116318585.41,152837375.63,84021647.04,218084859.4,1295358474.09,405104869.61,375965036.8099997,,2024865335.91
000895,双汇发展,2000,3107212246.58,154698250.0,248899238.61,127903167.45,274530459.9,1549110131.94,642513910.1,459357769.8199997,,2647854476.76
000895,双汇发展,2001,3367966075.45,170501788.08,211153569.41,81236556.45,275590543.0,1617014073.7,584767607.58,519654989.21,50000000.0,2848311086.24
000895,双汇发展,2002,4759703846.08,200616278.78,180519905.66,153095654.32,419661260.85,2621588574.76,754087267.54,754588464.4899998,150000000.0,4005115381.59
000895,双汇发展,2003,7179455253.93,263685003.4,416894700.54,154018016.58,530635432.07,3105309075.24,918987042.0,968813911.67,57000000.0,6210641342.26
000895,双汇发展,2004,10056053084.51,298419472.2,476774495.66,106833335.47,687742132.33,3270090238.39,938616399.31,1045253983.2600002,31000000.0,9010799101.25
000895,双汇发展,2005,13459925772.83,371104998.49,601143562.19,69700294.97,850154342.5,3500602001.13,1140699666.69,1502657600.2299995,60000000.0,11957268172.6
000895,双汇发展,2006,15431348834.32,467524298.05,697179041.63,26220214.67,937030030.74,3704201180.23,1115967814.15,1839288984.49,8000000.0,13592059849.83
000895,双汇发展,2007,21844575046.86,561881044.61,769261865.91,29662507.41,1044636881.27,4024116802.68,1289893771.34,1929556813.760002,15000000.0,19915018233.1
000895,双汇发展,2008,26009986485.68,698892608.81,1118416135.62,71434875.19,968174632.49,4456179484.71,1428734433.93,2384554190.220001,,23625432295.46
000895,双汇发展,2009,28351347060.75,910657110.94,1417490850.6,85542475.51,1391170555.64,5753235647.48,2036194106.27,2773327927.119999,,25578019133.63
000895,双汇发展,2010,36310260747.81,1159206378.09,1803606033.95,136875519.66,1394763350.6,7150487910.22,2541890802.74,3457913459.069996,,32852347288.74
000895,双汇发展,2011,35831824609.16,1334201313.0,2346898497.93,212366262.35,3353646994.2,16585556168.43,6453923115.33,4803532057.680004,1153205622.81,31028292551.48
000895,双汇发展,2012,39704548213.41,2885234728.38,4557316420.81,225908189.06,2066899140.51,16695083971.49,4141012883.44,7140922253.620003,200000000.0,32563625959.79
000895,双汇发展,2013,44950458306.84,3858197094.19,3869291116.78,194544399.8,3568180464.02,19746141970.4,4742773592.93,8734289488.369995,188881001.81,36216168818.47
000895,双汇发展,2014,45695728741.72,4039863758.01,4712041491.8,129347112.51,3719994988.43,21982434237.27,5621594551.85,9106984596.79,299107949.49,36588744144.93
000895,双汇发展,2015,44696667615.26,4255541752.84,5766324283.46,131744098.38,3384796676.51,22884467166.16,5197899254.47,9283319077.47,600000000.0,35413348537.79
000895,双汇发展,2016,51822365961.66,4405056392.24,5545999256.67,100835614.91,3219714749.87,21351919400.65,6283171611.23,9382825513.650002,1055000199.99,42439540448.01
000895,双汇发展,2017,50443861236.89,4319299922.47,5650043807.98,135043452.6,2928255410.86,23089066159.71,7621737898.53,9536729065.14,1942107168.85,40907132171.75
000895,双汇发展,2018,48738766073.83,4911892293.45,4876193203.92,99999810.27,4244810831.87,22864524601.32,9159341367.5,10512253179.560003,3130575449.85,38226512894.27
000895,双汇发展,2019,60309731762.99,5437612565.07,4423615424.35,153998532.63,8801425418.16,28633340531.12,11517949718.79,11332948879.28,3277465169.5,48976782883.71
000895,双汇发展,2020,73862643466.6,6255513991.33,8821926787.69,235909236.0,6377695426.57,34703881761.96,10571162795.18,11733111138.530006,2382649141.34,62129532328.07
000895,双汇发展,2021,66682260352.97,4865939674.32,6034052782.54,183490883.39,5668922729.5,33977361889.46,10827651325.11,10237235614.89,2337955989.2,56445024738.08
000895,双汇发展,2022,62575635903.48,5620885670.8,7565466114.96,184310402.93,6121265080.48,36411979719.78,14229511445.34,10256405586.97,3147345427.65,52319230316.51
000895,双汇发展,2023,59892963176.51,5052741772.33,3387718636.44,217287644.22,8266656574.16,36675370401.01,15529083608.97,10213678722.950005,5982978796.66,49679284453.56
000895,双汇发展,2024,59561224544.07,4989048074.6,8415760882.42,273561972.83,6927950505.95,37285159827.29,15959779861.19,10536937982.089996,7098148362.6,49024286561.98
000895,双汇发展,2025,59274045475.32,5104609986.02,7352441262.38,453713010.46,5547612648.04,39442365327.59,17876611256.28,10699963959.489998,9720261935.02,48574081515.83
