symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
300498,温氏股份,2006,7639904259.64,782463989.59,695337203.79,84936484.28,1304281498.62,4133470284.75,1680148496.55,1371016234.0600004,233870000.0,6268888025.58
300498,温氏股份,2007,11763175840.36,1839811595.42,1218327243.12,131640811.96,2107456906.82,6623865738.39,2394539569.03,2680090777.58,426180000.0,9083085062.78
300498,温氏股份,2008,15833529952.35,971010454.48,1542632951.46,150098161.78,2590732736.43,7831505345.3,3270345021.93,1968703452.4500008,1038900000.0,13864826499.9
300498,温氏股份,2009,16720921017.61,868932265.73,925053971.21,124887717.17,3554304650.17,9434037366.4,4274088217.89,2018062055.6100008,169000000.0,14702858962.0
300498,温氏股份,2010,21823071492.08,1920152777.03,2357071089.68,114138472.64,4241471951.66,11998900767.79,5096654028.44,3360734787.450001,778633610.0,18462336704.63
300498,温氏股份,2011,30998404364.53,4748974391.37,6316858446.43,120678999.97,5192629036.96,17438106908.75,6001307372.51,6624420869.579998,474109441.37,24373983494.95
300498,温氏股份,2012,33453171789.75,2616179481.56,3674518764.41,92571318.08,6560449539.49,21640266564.7,8137034965.85,4432138774.080002,1324960203.15,29021033015.67
300498,温氏股份,2013,35187057451.95,554444415.79,1860214288.47,63753401.5,7636067235.34,23938857892.54,11244992188.12,2472737862.2699966,3595751491.88,32714319589.68
300498,温氏股份,2014,38723069752.78,2688944845.37,4646799154.07,227168129.78,8310166426.25,27685921518.59,10407031158.45,5230374849.169998,2084471227.0,33492694903.61
300498,温氏股份,2015,48237369754.91,6205366551.21,9303222839.61,180764045.96,8894806592.51,32734965600.12,9705326883.47,9441562354.560003,910000000.0,38795807400.35
300498,温氏股份,2016,59355237219.15,11789879274.56,14652743719.86,143846113.17,10547508833.2,41438151161.51,10058779321.47,16749408514.650002,,42605828704.5
300498,温氏股份,2017,55657160144.3,6751119026.04,7994018444.96,172570169.37,11328456483.67,49039585688.19,15670360238.04,11166507688.32,2500000000.0,44490652455.98
300498,温氏股份,2018,57235997041.92,3957435270.51,6494470882.53,172629100.11,12888769303.88,53950016587.48,18376509265.32,9646054349.129995,1802000000.0,47589942692.79
300498,温氏股份,2019,73120412619.72,13967204890.3,18302933001.02,306899093.65,12486388533.83,65578924453.61,18950817475.86,20226754613.99,2072434704.86,52893658005.73
300498,温氏股份,2020,74923760203.84,7425874792.56,8465248850.62,342827722.8,13312235130.99,80500122647.49,32911937192.81,14694575041.019997,3990596661.37,60229185162.82
300498,温氏股份,2021,64954064169.73,-13404359150.48,766161193.39,411717961.45,14943684202.66,96788366471.74,62039242036.61,-5401772224.150002,1756899806.95,70355836393.88
300498,温氏股份,2022,83708187230.99,5289005087.07,11074527590.93,537985656.11,20388326002.09,98087413601.55,55172232462.48,13011329488.540009,1088696429.18,70696857742.45
300498,温氏股份,2023,89902322387.76,-6389662358.5,7593935845.43,521276466.53,20335660530.71,92895140058.76,57048119355.71,755507860.7899933,2474531408.03,89146814526.97
300498,温氏股份,2024,105583714275.85,9279937440.45,19606871064.65,996524440.55,19511338790.31,95082368996.67,50657860341.78,18404528427.84001,1473673274.86,87179185848.01
300498,温氏股份,2025,103824483312.07,5266415817.82,11807445685.82,1077143653.97,20770221037.5,89507573237.28,44590568342.84,11611195097.950012,74555201.61,92213288214.12
