symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
002415,海康威视,2006,701792701.26,206793182.7,154006071.03,85770294.65,133565383.32,477466298.94,139827684.82,303433437.69,,398359263.57
002415,海康威视,2007,1184513897.96,364516727.69,356650987.49,95139325.54,223233592.53,871867597.03,327156346.79,574984191.89,45000000.0,609529706.07
002415,海康威视,2008,1742471409.91,548845783.69,647042066.62,132558517.63,219387511.16,1369519232.37,399965855.82,885951893.5300001,,856519516.38
002415,海康威视,2009,2101513184.72,705577126.21,654000395.27,250668220.89,392950169.45,2197077158.65,699754691.73,1094422517.33,27374000.0,1007090667.39
002415,海康威视,2010,3605477285.21,1051804319.23,663926032.74,532296129.29,625345392.04,6549342721.07,906888854.1,1861713652.09,,1743763633.12
002415,海康威视,2011,5231639749.77,1481012967.98,1170461433.24,948269339.34,769097776.54,8316653307.99,1502544995.3,2597459441.1300006,,2634180308.64
002415,海康威视,2012,7213789489.18,2136873134.55,1436789861.42,1596724569.46,1017937356.11,10589486239.71,2009788325.49,3548866678.3700004,0.0,3664922810.81
002415,海康威视,2013,10745907038.84,3066648532.9,1863365811.63,2878641141.42,1428667757.02,14071528034.19,2958838508.34,5117068621.74,180799798.2,5628838417.1
002415,海康威视,2014,17233114021.7,4665368689.94,3706420782.04,4281526957.05,2291934275.76,21290520311.29,6411363764.03,7654847328.42,362317989.11,9578266693.28
002415,海康威视,2015,25271390273.42,5869049646.23,3216722169.17,8125932742.98,2818665737.11,30316442436.17,11018991556.47,10134596755.979998,876600473.94,15136793517.44
002415,海康威视,2016,31934544088.82,7423683960.91,6216364642.05,11243843324.9,3829947876.75,41348428750.4,16869887264.87,13281836933.259998,32291324.85,18652707155.56
002415,海康威视,2017,41905476572.07,9410855084.82,7373160250.68,14705210072.81,4940332311.65,51570963466.61,20966842028.52,18438165981.31,97114655.91,23467310590.76
002415,海康威视,2018,49837132481.61,11352132255.21,9113286027.76,16619441281.18,5725104153.41,63491508747.79,25528600681.55,22353662926.37,3465655688.29,27483469555.24
002415,海康威视,2019,57658110065.22,12414587690.45,7767720171.14,21307927200.28,11267986843.11,75358000240.29,29885141355.15,26517933288.1,2640082485.15,31140176777.12
002415,海康威视,2020,63503450891.78,13385526714.15,16088156566.67,21979380716.86,11477906040.7,88701682384.2,34221938983.66,29545753034.05,3999246634.59,33957697857.73
002415,海康威视,2021,81420053539.27,16800411032.05,12708524686.99,26174773100.42,17974112407.6,103864543195.18,38469900919.3,36090653206.62,4074962469.97,45329400332.65
002415,海康威视,2022,83166321681.14,12837704462.49,10164135382.38,29906294410.4,18998222978.81,119234833850.69,46263105499.03,35170067214.82,3343071972.89,47996254466.32
002415,海康威视,2023,89341177610.4,14107726276.26,16622209721.05,35816573511.44,19211444296.82,138858122879.55,56694511001.64,39608409062.83,2118952026.06,49732768547.57
002415,海康威视,2024,92495525118.3,11977327023.54,13264092022.73,37910128735.42,19110711958.11,132016200156.14,44515905407.99,40541667206.09,1031895812.62,51953857912.21
002415,海康威视,2025,92507796069.94,14195371894.42,25339411083.1,29812378945.77,20472193858.8,138049655334.62,46832791980.03,42440359519.58,2685866236.94,50067436550.36
