symbol,company_name,year,revenue,net_profit,operating_cash_flow,accounts_receivable,inventory,total_assets,total_liabilities,gross_profit,short_term_borrowing,_operating_cost
600031,三一重工,2000,392611056.55,59950717.76,,120829966.73,187714271.02,606647875.93,437060745.45,183753721.53,209000000.0,208857335.02
600031,三一重工,2001,550345110.3,91246075.56,,135346542.41,211641681.72,677956505.46,417085008.42,282722339.93999994,199770097.17,267622770.36
600031,三一重工,2002,984562359.06,209855351.23,69815005.51,179726793.51,441546217.27,1153425152.35,679037847.09,502998753.36,325036000.0,481563605.7
600031,三一重工,2003,2088012347.37,324799880.47,70680139.69,419152044.88,636831119.96,2681478259.96,977952978.85,858893085.4699998,279314288.14,1229119261.9
600031,三一重工,2004,2656229801.43,327297600.33,2617359.77,607096573.45,1140679353.93,4323532624.24,2364840854.22,853400780.4899998,1188550000.0,1802829020.94
600031,三一重工,2005,2537397262.04,216273681.61,147835032.19,597299986.27,1208710776.61,4757808311.59,2610817285.93,888246821.1700001,1321000000.0,1649150440.87
600031,三一重工,2006,5210190938.11,592004326.72,510018365.25,801597074.15,1591644646.72,6312472931.33,3260934200.24,1812791978.61,1064418208.91,3397398959.5
600031,三一重工,2007,9144950843.99,1606160035.62,630587301.44,2066503739.26,2342896833.88,11179126568.19,6131901596.42,3160753298.44,1187292660.0,5984197545.55
600031,三一重工,2008,13745256113.43,1232234322.48,640496614.87,3101860937.03,3012577561.35,13967341725.58,7782467006.38,4117692322.370001,961763251.33,9627563791.06
600031,三一重工,2009,18975814774.6,2639904732.61,4679925570.46,4448444996.94,3992917602.43,22075951741.85,12428589746.04,6743731236.309998,1699082041.22,12232083538.29
600031,三一重工,2010,33954939086.19,5615461622.88,6749124249.4,5727911696.09,5687266405.07,31452035260.15,19533512579.37,12513101541.96,4994435438.14,21441837544.23
600031,三一重工,2011,50776301000.0,8648900000.0,2279027000.0,11304874000.0,8134409000.0,51306718000.0,30553108000.0,18524070000.0,9502134000.0,32252231000.0
600031,三一重工,2012,46830535000.0,5686095000.0,5681738000.0,14974446000.0,10511356000.0,64461400000.0,39847936000.0,14867283000.0,5658564000.0,31963252000.0
600031,三一重工,2013,37327890000.0,2903595000.0,2769329000.0,18727664000.0,9416837000.0,63867783000.0,38858946000.0,9775196000.0,2423762000.0,27552694000.0
600031,三一重工,2014,30364721000.0,709206000.0,1231939000.0,19851307000.0,7269154000.0,63009445000.0,38268616000.0,7826051000.0,4601916000.0,22538670000.0
600031,三一重工,2015,23470343000.0,4961000.0,2696916000.0,21044046000.0,5630365000.0,62588839000.0,38189528000.0,5778986000.0,11570517000.0,17691357000.0
600031,三一重工,2016,23280072000.0,203457000.0,3249450000.0,18084787000.0,6220299000.0,61554967000.0,38102264000.0,6100670000.0,8908494000.0,17179402000.0
600031,三一重工,2017,38335087000.0,2092253000.0,8564501000.0,18365634000.0,7641889000.0,58237690000.0,31864509000.0,11529234000.0,2256958000.0,26805853000.0
600031,三一重工,2018,55821504000.0,6116288000.0,10526899000.0,20133360000.0,11594627000.0,73774723000.0,41272610000.0,17093546000.0,5416746000.0,38727958000.0
600031,三一重工,2019,75665462000.0,11325923000.0,11883710000.0,21775480000.0,14251743000.0,99241536000.0,50818520000.0,24733487000.0,8639175000.0,50931975000.0
600031,三一重工,2020,99342410000.0,15434691000.0,13418816000.0,21512081000.0,19197907000.0,126482594000.0,68085209000.0,29622465000.0,7636411000.0,69719945000.0
600031,三一重工,2021,106113346000.0,12033364000.0,11904233000.0,19655404000.0,18462609000.0,138556543000.0,73461411000.0,27433526000.0,5777989000.0,78679820000.0
600031,三一重工,2022,80034495000.0,4290386000.0,4100859000.0,25022047000.0,19738362000.0,158921280000.0,92827641000.0,19241961000.0,4540048000.0,60792534000.0
600031,三一重工,2023,73221725000.0,4527451000.0,5708220000.0,24164729000.0,19767762000.0,151203358000.0,82041325000.0,19170672000.0,4115624000.0,54051053000.0
600031,三一重工,2024,77773391000.0,5955567000.0,14814278000.0,25516530000.0,19947981000.0,152145077000.0,79143478000.0,20556432000.0,5953356000.0,57216959000.0
600031,三一重工,2025,89231023000.0,8408057000.0,19975261000.0,25540365000.0,22526664000.0,173299138000.0,83867741000.0,24570730000.0,9128447000.0,64660293000.0
